Case #,Year,Date,Country,State,Description,Deaths,Tesla driver,Tesla occupant,Other vehicle,Cyclists/Peds,TSLA+cycl / peds,Model,Autopilot claimed,Reported in NHTSA SGO
252,2022,7/16/2022,USA,PA,Tesla goes airborne and crashes,1,1,0,0,0,1,#N/A,FALSE,#N/A
250,2022,7/8/2022,USA,CA,3-car accident involving Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
249,2022,7/8/2022,USA,HA,Motorcycle crashes into Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
248,2022,7/7/2022,USA,CA,Motorcycle hit by Tesla,1,0,0,1,0,0,Y,TRUE,13781-3488
247,2022,7/6/2022,USA,FL,Tesla hits parked tractor-trailer,2,1,1,0,0,2,S,TRUE,13781-3327
246,2022,7/5/2022,USA,GA," Tesla strikes pole, burns ",1,1,0,0,0,1,#N/A,FALSE,#N/A
245,2022,6/26/2022,USA,CA,Tesla drives into opposite lane,1,0,0,1,0,0,#N/A,FALSE,#N/A
244,2022,6/20/2022,USA,AL,Tesla crashes into car,1,0,0,1,0,0,#N/A,FALSE,#N/A
243,2022,6/20/2022,USA,PA,Tesla hit and run,1,0,0,0,1,1,#N/A,FALSE,#N/A
241,2022,6/19/2022,USA,MI," Tesla hits telephone pole, ignites ",2,1,1,0,0,2,#N/A,FALSE,#N/A
240,2022,6/17/2022,USA,CA,Head-on collision,2,1,1,0,0,2,#N/A,FALSE,#N/A
239,2022,6/14/2022,USA,CA,Tesla moves into opposite lane and head-on crashes,1,0,0,1,0,0,#N/A,FALSE,#N/A
238,2022,6/13/2022,USA,CA,Two-car collision,1,1,0,0,0,1,#N/A,FALSE,#N/A
237,2022,6/7/2022,USA,CA,DUI crash,1,0,0,0,1,1,#N/A,FALSE,#N/A
236,2022,6/3/2022,USA,NV,Motorcycle crashes into Tesla,1,0,0,1,0,0,#N/A,FALSE,#N/A
235,2022,6/-/2022,USA,NJ,[REDACTED],1,0,0,0,0,1,3,TRUE,13781-3513
234,2022,5/28/2022,USA,NY,Tesla DUI crash,1,0,0,1,0,0,#N/A,FALSE,#N/A
233,2022,5/28/2022,USA,OR,Tesla loses control and crashes into car,2,1,0,1,0,1,Y,FALSE,#N/A
232,2022,5/28/2022,USA,CA,Speeding tesla crashes into tree,1,1,0,0,0,1,#N/A,FALSE,#N/A
231,2022,5/25/2022,USA,OR,Tesla crashes into pole,1,0,1,0,0,1,S,FALSE,#N/A
230,2022,5/23/2022,USA,AZ,Tesla driver hit in multi-car accident,1,1,0,0,0,1,#N/A,FALSE,#N/A
228,2022,5/19/2022,USA,NJ," Tesla hits trees, ignites ",1,1,0,0,0,1,#N/A,FALSE,#N/A
227,2022,5/19/2022,USA,NJ,Multiple car crash on highway,1,1,0,0,0,1,#N/A,FALSE,#N/A
226,2022,5/18/2022,USA,CA,Tesla hits pedestrian,1,0,0,0,1,1,3,TRUE,13781-3279
225,2022,5/17/2022,USA,CO,Fiery crash,1,1,0,0,0,1,3,TRUE,13781-3074
223,2022,5/12/2022,USA,CA,Tesla smashes into construction equipment,3,1,2,0,0,3,S,TRUE,#N/A
222,2022,5/7/2022,USA,UT,Tesla DUI involving another vehicle,2,0,0,2,0,0,#N/A,FALSE,#N/A
221,2022,5/1/2022,USA,PA,Tesla DUI hits pedestrian,1,0,0,0,1,1,#N/A,FALSE,#N/A
220,2022,4/29/2022,USA,NC," Highway accident, Tesla goes airborne  ",1,1,0,0,0,0,#N/A,FALSE,#N/A
219,2022,4/14/2022,USA,FL,Crash with motorcycle,1,0,0,1,0,0,Y,TRUE,13781-3470
216,2022,3/26/2022,USA,CA," DUI crash on highway, Tesla catches fire ",1,0,0,0,0,1,Y,TRUE,13781-2600
215,2022,3/21/2022,USA,CA,Three car collision involving Tesla,2,0,0,2,0,0,#N/A,FALSE,#N/A
214,2022,3/20/2022,USA,CA,Car crosses double yellow and crashes with a Tesla,2,1,0,1,0,1,3,FALSE,#N/A
213,2022,3/14/2022,USA,CA,Tesla collides into rail on highway,2,1,1,0,0,1,#N/A,FALSE,#N/A
212,2022,3/14/2022,USA,FL,Tesla crash that ends in fire,1,1,0,0,0,1,#N/A,FALSE,#N/A
210,2022,3/12/2022,USA,NY,Tesla ignites on parkway,1,1,0,0,0,1,S,FALSE,#N/A
208,2022,3/7/2022,USA,CA,Car found overturned in a ravine,1,1,0,0,0,1,#N/A,FALSE,#N/A
207,2022,3/5/2022,USA,CA,Tesla crashes head on with other car,1,0,0,1,0,0,#N/A,FALSE,#N/A
206,2022,2/28/2022,USA,ID,Car found in water-swollen ditch,1,1,0,0,0,1,#N/A,FALSE,#N/A
205,2022,2/27/2022,USA,MO,Tesla breaks down in traffic and causes pile-up,1,1,0,0,0,1,#N/A,FALSE,#N/A
204,2022,2/12/2022,USA,CA,Tesla crashes into a tree,1,1,0,0,0,1,#N/A,FALSE,#N/A
203,2022,2/7/2022,USA,FL," Tesla loses control, hits pole, ignites ",1,1,0,0,0,1,#N/A,FALSE,#N/A
202,2022,1/16/2022,USA,CA,Three-car collision near intersection,1,0,0,1,0,0,#N/A,FALSE,#N/A
201,2022,1/1/2022,USA,CA,Motorcyclist crashes into Tesla,1,0,0,1,0,0,X,FALSE,#N/A
200,2022,1/1/2022,USA,CA,Single-collision on onramp,1,1,0,0,0,1,#N/A,FALSE,#N/A
199,2021,12/31/2021,USA,CA,Tesla crashes into trees,2,1,1,0,0,2,#N/A,FALSE,#N/A
198,2021,12/28/2021,USA,CA,Multi-crash involving DUI,1,0,0,1,0,0,3,TRUE,13781-3900
196,2021,12/18/2021,USA,CA,Multi-car accident,1,0,0,1,0,0,Y,FALSE,#N/A
194,2021,12/7/2021,USA,AZ,Vehicular collision,1,1,0,0,0,1,#N/A,FALSE,#N/A
