Date,Close/Last,Volume,Open,High,Low
03/29/2023,$7.70,30158050,$7.65,$7.73,$7.17
03/28/2023,$7.55,20200220,$8.11,$8.2392,$7.41
03/27/2023,$8.14,11530790,$8.30,$8.30,$8.09
03/24/2023,$8.19,8245412,$8.02,$8.31,$7.985
03/23/2023,$8.19,12067330,$8.105,$8.295,$8.01
03/22/2023,$7.93,15098630,$8.20,$8.315,$7.90
03/21/2023,$8.19,17486420,$7.85,$8.31,$7.805
03/20/2023,$7.70,13236020,$7.46,$7.83,$7.28
03/17/2023,$7.69,28236490,$7.68,$7.8392,$7.37
03/16/2023,$7.83,17219670,$7.37,$7.87,$7.33
03/15/2023,$7.40,17736160,$7.35,$7.53,$7.23
03/14/2023,$7.54,18241250,$7.92,$8.03,$7.49
03/13/2023,$7.84,17990520,$7.58,$7.945,$7.33
03/10/2023,$7.87,16763400,$8.015,$8.23,$7.69
03/09/2023,$8.00,19967860,$8.25,$8.338,$7.97
03/08/2023,$8.34,10208020,$8.24,$8.44,$8.151
03/07/2023,$8.31,17533470,$8.70,$8.71,$8.27
03/06/2023,$8.82,13876560,$9.00,$9.18,$8.815
03/03/2023,$8.94,19535310,$8.67,$9.095,$8.63
03/02/2023,$8.53,16345230,$8.39,$8.63,$8.13
03/01/2023,$8.62,22734910,$8.97,$9.06,$8.35
02/28/2023,$9.13,23496100,$8.715,$9.26,$8.715
02/27/2023,$8.76,17714650,$8.50,$8.85,$8.415
02/24/2023,$8.51,27562640,$8.38,$8.55,$8.17
02/23/2023,$8.79,66382650,$8.63,$8.89,$8.10
02/22/2023,$9.98,26981540,$10.04,$10.22,$9.8215
02/21/2023,$9.90,23461550,$10.74,$10.74,$9.81
02/17/2023,$10.93,15798420,$10.585,$10.95,$10.35
02/16/2023,$10.63,22168080,$11.00,$11.2665,$10.62
02/15/2023,$11.01,23359200,$10.28,$11.07,$10.10
02/14/2023,$10.33,17868230,$10.01,$10.44,$9.83
02/13/2023,$10.20,14305170,$9.96,$10.23,$9.6352
02/10/2023,$10.03,23229200,$10.46,$10.46,$9.74
02/09/2023,$10.31,33517890,$11.72,$11.72,$10.20
02/08/2023,$11.53,21528950,$11.46,$12.15,$11.40
02/07/2023,$11.57,29247180,$11.81,$11.88,$11.11
02/06/2023,$11.96,26373700,$11.68,$12.13,$11.60
02/03/2023,$11.62,30090770,$11.70,$12.65,$11.44
02/02/2023,$12.07,71458690,$12.20,$13.04,$11.86
02/01/2023,$11.845,42035370,$11.52,$12.14,$11.08
01/31/2023,$11.69,50844450,$11.53,$12.25,$11.24
